Name,The physical risks associated with climate change under current policies are likely to threaten financial stability over the next decade.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
"Allen, Franklin",Did Not Answer,,
"Antras, Pol",Disagree,6,That's not my reading of the evidence. The threat seems too far in the future to affect financial variable any time soon. But I'm no expert.
"Bénassy-Quéré, Agnès",Agree,6,Some asset classes may abruptly lose value.
"Besley, Timothy J.",Did Not Answer,,
"Blanchard, Olivier",Uncertain,8,
"Bloom, Nicholas",Disagree,7,
"Blundell, Richard William",Did Not Answer,,
"Carletti, Elena",Agree,7,
"Danthine, Jean-Pierre",Uncertain,6,
"De Grauwe, Paul",Did Not Answer,,
"Eeckhout, Jan",Agree,6,
"Fehr, Ernst",Disagree,5,
"Freixas, Xavier",Did Not Answer,,
"Fuchs-Schündeln, Nicola",Agree,8,
"Galí, Jordi",Uncertain,6,I'd think the next decade is too short a horizon to see any impact.
"Giavazzi, Francesco",Agree,6,
"Griffith, Rachel",No Opinion,,
"Guerrieri, Veronica",Agree,5,
"Guiso, Luigi",Uncertain,5,
"Honohan, Patrick",Agree,7,"Maybe geographically limited in the next decade, but increasingly broad later on."
"Javorcik, Beata",No Opinion,,
"Kleven, Henrik",Did Not Answer,,
"Kőszegi, Botond",Agree,8,
"Krahnen, Jan Pieter",Disagree,6,
"La Ferrara, Eliana",Agree,3,
"Leuz, Christian",Uncertain,2,Agree climate change can pose systemic risks. But don't know how likely. There are huge time lags in (nonlinear) physical climate responses.
"Mayer, Thierry",Did Not Answer,,
"Meghir, Costas",Did Not Answer,,
"Neary, Peter",Uncertain,3,Very hard to forecast
"O'Rourke, Kevin",Uncertain,1,
"Pagano, Marco",Agree,8,
"Pastor, Lubos",Strongly Disagree,8,"Not in the next decade. Possible, through property insurance, but not likely."
"Persson, Torsten",Strongly Agree,5,
"Pissarides, Christopher",Uncertain,10,Same as before. Climate change events are unpredictable but their implications can be destabilising
"Portes, Richard",Disagree,8,
"Prendergast, Canice",Uncertain,7,
"Reichlin, Lucrezia",Strongly Agree,6,
"Repullo, Rafael",Uncertain,4,
"Rey, Hélène",Agree,9,"Portfolios will be affected (stranded assets in particular). Due to uncertainty and procrastination, likely to translate into instability."
"Schoar, Antoinette",Uncertain,6,"Climate change likely affects economic stability/welfare/politics.Financial (in)stability uncertain,depends on speed/predictability ofchange"
"Sturm, Daniel",Disagree,4,
"Van Reenen, John",Uncertain,3,
"Vickers, John",Uncertain,8,"If such risks do threaten financial stability, it will be mainly because financial regulation (eg of bank capital) is too weak"
"Voth, Hans-Joachim",Strongly Disagree,7,
"Weder di Mauro, Beatrice",Uncertain,9,
"Whelan, Karl",Disagree,3,I could be wrong here. There could be tipping point events where climate emergencies become a major financial issue.
"Wyplosz, Charles",Agree,6,
"Zilibotti, Fabrizio",Did Not Answer,,