V3,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,,,,,,
Name,Bitcoins are more similar to gold than they are to currency.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,URL(s) associated with your answer. Please separate multiple URLs with a comma.,Bitcoins are more similar to gold than they are to Dutch tulips in the 1630s.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,URL(s) associated with your answer. Please separate multiple URLs with a comma.,,,,,,
"Aghion, Philippe",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Allen, Franklin",Agree,6,At the moment Bitcoin is more of an investment than a medium of exchange and so is closer to gold. The reason is the price volatility.,,Agree,6,"I think Bitcoin is not necessarily a bubble since it does have uses, eg, transferring value from Venezuela to the US.",,,,,,,
"Antras, Pol",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Bénassy-Quéré, Agnès",Agree,9,Except that you cannot make nice necklaces with bitcoins.,,Disagree,2,,,,,,,,
"Besley, Timothy J.",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Blanchard, Olivier",Strongly Agree,9,,,Uncertain,9,"Like bitcoin, the two assets have some intrinsic value.  Much of their price however reflects a bubble.  A draw",,,,,,,
"Bloom, Nicholas",No Opinion,,,,Disagree,1,This feels like a classic bubble - my guess is 10 years from now they will be valueless.,,,,,,,
"Blundell, Richard William",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Carletti, Elena",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Danthine, Jean-Pierre",Agree,1,,,Disagree,3,Both gold and tulips are bubbles. Gold has a larger intrinsic value plus a long history as a safe haven asset.,,,,,,,
"De Grauwe, Paul",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Eeckhout, Jan",Agree,7,,,Disagree,5,,,,,,,,
"Fehr, Ernst",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Freixas, Xavier",Agree,5,Bitcoins are a bubble. Gold embodies a bubble but has a fundamental industrial value. Currencies are a bubbles  backed by the government.,,Strongly Disagree,10,Currencies are backed by tax collection.,,,,,,,
"Fuchs-Schündeln, Nicola",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Galí, Jordi",Disagree,7,"Bitcoins, like currency, are used as a means of payment. Gold is not. Gold has a fundamental value.",,Disagree,7,"Like the price of Dutch tulips in the 1630s, bitcoins' price seems to have a large bubble component. Gold's is likely smaller.",,,,,,,
"Garicano, Luis",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Giavazzi, Francesco",Uncertain,5,,,Agree,4,,,,,,,,
"Griffith, Rachel",No Opinion,,,,No Opinion,,,,,,,,,
"Guerrieri, Veronica",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Guiso, Luigi",Disagree,5,,,Disagree,5,,,,,,,,
"Honohan, Patrick",Disagree,8,"Gold has intrinsic value. Bitcoin value, like currency, depends mainly on social or political conventions.",,Agree,8,Bitcoin has a payments function unlike those tulip bulbs,,,,,,,
"Kleven, Henrik",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Kőszegi, Botond",No Opinion,,,,No Opinion,,,,,,,,,
"Krahnen, Jan Pieter",Strongly Disagree,6,"A bitcoin is a private bet on becoming a (public) legal tender, and on earning the seignorage. ",,Disagree,5,"Again, tulips had developed into a mutually accepted expression of value, and bulbs were seen as the key (algorithm) to replication/mining. ",,,,,,,
"Krusell, Per",Disagree,7,"It has no intrinsic value: like currency. Its liquidity: unclear, but similar w many currencies. It is a medium of exchange for criminals. ",,Agree,4,Gold is also a medium of exchange though not a very liquid one. ,,,,,,,
"La Ferrara, Eliana",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Leuz, Christian",Uncertain,4,Bitcoin is neither close to gold nor to a currency. Studies show that its asset prices so far do not behave like gold or other currencies.,https://www.sciencedirect.com/science/article/pii/B9780128021170000023,Disagree,6,"Investors might be speculating on bitcoins being used in some future application, but there are many competitors or alternatives.",,,,,,,
"Meghir, Costas",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Neary, Peter",Disagree,4,"Bitcoins have feature of currency, though volatility makes them undesirable except for speculation. Blockchain technology more important",,Uncertain,1,If I knew the answer I would take a position on them!,,,,,,,
"O'Rourke, Kevin",Agree,5,,,Disagree,5,,,,,,,,
"Pagano, Marco",Agree,7,,,Disagree,4,,,,,,,,
"Pastor, Lubos",Strongly Agree,5,"Like gold, bitcoin has stable supply, unstable purchasing power, and no central bank to back it up / ",,Agree,5,Little similarity to tulips besides the recent bubble-like price pattern,,,,,,,
"Persson, Torsten",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Pissarides, Christopher",Agree,10,They are not currency: no central bank involved and not used in every day transactions. Not exactly like gold: gold has other uses,,Disagree,8,"Tulips, from what I know, have very little other uses",,,,,,,
"Portes, Richard",Strongly Agree,9,"Bitcoins not an accepted means of exchange, nor unit of account, nor stable store of value. So not money. ",,Strongly Disagree,9,Bitcoins are bubble like tulips. And not even pretty to look at. Gold not bubble (and is rather pretty).,,,,,,,
"Prendergast, Canice",Disagree,8,,,Agree,7,,,,,,,,
"Reichlin, Lucrezia",Strongly Agree,10,,,Agree,10,,,,,,,,
"Repullo, Rafael",Disagree,7,Bitcoins are not commodity money (like gold) but rather fiat money (without the backing of a sovereign).,,Agree,7,Dutch tulips can hardly serve as commodity money. ,,,,,,,
"Rey, Hélène",Strongly Agree,8,"Bitcoins lack characteristics of fiat money (legal tender, trust in issuing state, good store of value, good medium of exchange)",,Strongly Disagree,8,Gold has some durable intrinsic value (jewels). Bitcoins have none.,,,,,,,
"Schoar, Antoinette",Agree,9,,,Strongly Disagree,8,,,,,,,,
"Van Reenen, John",Disagree,5,,,Disagree,6,,,,,,,,
"Vickers, John",Agree,5,,,Uncertain,5,,,,,,,,
"Voth, Hans-Joachim",Strongly Agree,8,"Bitcoins are almost useless as currency... but like gold, in limited supply. ",,Disagree,5,Tulips are highly differentiated goods; bitcoin are not. But both bitcoin and tulips have no business being very valuable...,,,,,,,
"Weder di Mauro, Beatrice",Agree,9,"The bitcoin supply is asymptotically fixed , as opposed to fiat money. ",,Strongly Disagree,8,Fantasy plays a large part in the pricing of bitcoin. ,,,,,,,
"Whelan, Karl",Agree,10,On the relative similarity I agree but gold has actual uses (e.g. jewellery) which gives it some value. Bitcoin will likely end up worthless,,Disagree,8,The tulips thing was a long time ago and there are various disagreements about it. But yes Bitcoin is more pure speculation than even gold.,,,,,,,
"Wyplosz, Charles",Disagree,5,"Bitcoins are a parallel currency, with no intrinsic value, very different from gold. But the supply is limited, like gold. ",,Disagree,5,"Tulips were subject to a bubble, which also applies to bitcoins, and occasionally to gold. ",,,,,,,
"Zilibotti, Fabrizio",Did Not Answer,,,,Did Not Answer,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
